household_id,age,dependents,net_worth,net_worth_after_redistribution,transfer,L,phi,L_phi,annual_consumption,target_lifetime_consumption,marginal_utility
1,18,0,5000,971495.2496954933,966495.2496954933,82,1.0,82.0,11847.503045066991,971495.2496954933,8.440597113130732e-05
2,19,0,8000,959647.7466504263,951647.7466504263,81,1.0,81.0,11847.503045066991,959647.7466504263,8.440597113130732e-05
3,20,0,12000,947800.2436053592,935800.2436053592,80,1.0,80.0,11847.503045066991,947800.2436053592,8.440597113130732e-05
4,21,0,15000,935952.7405602923,920952.7405602923,79,1.0,79.0,11847.503045066991,935952.7405602923,8.440597113130732e-05
5,22,0,18000,924105.2375152253,906105.2375152253,78,1.0,78.0,11847.503045066991,924105.2375152253,8.440597113130732e-05
6,23,0,22000,912257.7344701583,890257.7344701583,77,1.0,77.0,11847.503045066991,912257.7344701583,8.440597113130732e-05
7,24,0,28000,900410.2314250913,872410.2314250913,76,1.0,76.0,11847.503045066991,900410.2314250913,8.440597113130732e-05
8,25,0,35000,888562.7283800243,853562.7283800243,75,1.0,75.0,11847.503045066991,888562.7283800243,8.440597113130732e-05
9,26,0,38000,876715.2253349574,838715.2253349574,74,1.0,74.0,11847.503045066991,876715.2253349574,8.440597113130732e-05
10,27,0,42000,864867.7222898904,822867.7222898904,73,1.0,73.0,11847.503045066991,864867.7222898904,8.440597113130732e-05
11,28,1,48000,1108926.2850182704,1060926.2850182704,72,1.3,93.60000000000001,15401.753958587089,1108926.2850182704,8.440597113130732e-05
12,29,1,55000,1093524.5310596833,1038524.5310596833,71,1.3,92.3,15401.753958587089,1093524.5310596833,8.440597113130732e-05
13,30,1,62000,1078122.7771010962,1016122.7771010962,70,1.3,91.0,15401.753958587089,1078122.7771010962,8.440597113130732e-05
14,31,1,68000,1062721.0231425092,994721.0231425092,69,1.3,89.7,15401.753958587089,1062721.0231425092,8.440597113130732e-05
15,32,1,75000,1047319.2691839221,972319.2691839221,68,1.3,88.4,15401.753958587089,1047319.2691839221,8.440597113130732e-05
16,33,1,85000,1031917.515225335,946917.515225335,67,1.3,87.10000000000001,15401.753958587089,1031917.515225335,8.440597113130732e-05
17,34,1,92000,1016515.7612667478,924515.7612667478,66,1.3,85.8,15401.753958587089,1016515.7612667478,8.440597113130732e-05
18,35,1,105000,1001114.0073081608,896114.0073081608,65,1.3,84.5,15401.753958587089,1001114.0073081608,8.440597113130732e-05
19,36,2,118000,1213184.31181486,1095184.31181486,64,1.6,102.4,18956.004872107187,1213184.31181486,8.440597113130732e-05
20,37,2,130000,1194228.3069427528,1064228.3069427528,63,1.6,100.80000000000001,18956.004872107187,1194228.3069427528,8.440597113130732e-05
21,38,2,145000,1175272.3020706456,1030272.3020706456,62,1.6,99.2,18956.004872107187,1175272.3020706456,8.440597113130732e-05
22,39,2,160000,1156316.2971985384,996316.2971985384,61,1.6,97.60000000000001,18956.004872107187,1156316.2971985384,8.440597113130732e-05
23,40,2,178000,1137360.2923264313,959360.2923264313,60,1.6,96.0,18956.004872107187,1137360.2923264313,8.440597113130732e-05
24,41,2,195000,1118404.287454324,923404.2874543241,59,1.6,94.4,18956.004872107187,1118404.287454324,8.440597113130732e-05
25,42,2,215000,1099448.282582217,884448.2825822169,58,1.6,92.80000000000001,18956.004872107187,1099448.282582217,8.440597113130732e-05
26,43,2,235000,1080492.2777101097,845492.2777101097,57,1.6,91.2,18956.004872107187,1080492.2777101097,8.440597113130732e-05
27,44,2,258000,1061536.2728380025,803536.2728380025,56,1.6,89.60000000000001,18956.004872107187,1061536.2728380025,8.440597113130732e-05
28,45,2,280000,1042580.2679658952,762580.2679658952,55,1.6,88.0,18956.004872107187,1042580.2679658952,8.440597113130732e-05
29,46,2,305000,1023624.2630937881,718624.2630937881,54,1.6,86.4,18956.004872107187,1023624.2630937881,8.440597113130732e-05
30,47,2,330000,1004668.258221681,674668.258221681,53,1.6,84.80000000000001,18956.004872107187,1004668.258221681,8.440597113130732e-05
31,48,1,358000,800891.2058465286,442891.20584652864,52,1.3,67.60000000000001,15401.753958587089,800891.2058465286,8.440597113130732e-05
32,49,1,385000,785489.4518879415,400489.45188794145,51,1.3,66.3,15401.753958587089,785489.4518879415,8.440597113130732e-05
33,50,1,415000,770087.6979293544,355087.6979293544,50,1.3,65.0,15401.753958587089,770087.6979293544,8.440597113130732e-05
34,51,1,445000,754685.9439707673,309685.9439707673,49,1.3,63.7,15401.753958587089,754685.9439707673,8.440597113130732e-05
35,52,1,478000,739284.1900121804,261284.19001218036,48,1.3,62.400000000000006,15401.753958587089,739284.1900121804,8.440597113130732e-05
36,53,1,510000,723882.4360535932,213882.43605359318,47,1.3,61.1,15401.753958587089,723882.4360535932,8.440597113130732e-05
37,54,1,545000,708480.6820950061,163480.6820950061,46,1.3,59.800000000000004,15401.753958587089,708480.6820950061,8.440597113130732e-05
38,55,1,582000,693078.9281364189,111078.92813641892,45,1.3,58.5,15401.753958587089,693078.9281364189,8.440597113130732e-05
39,56,0,620000,521290.1339829476,-98709.86601705238,44,1.0,44.0,11847.503045066991,521290.1339829476,8.440597113130732e-05
40,57,0,660000,509442.6309378806,-150557.3690621194,43,1.0,43.0,11847.503045066991,509442.6309378806,8.440597113130732e-05
41,58,0,702000,497595.12789281365,-204404.87210718635,42,1.0,42.0,11847.503045066991,497595.12789281365,8.440597113130732e-05
42,59,0,745000,485747.6248477466,-259252.37515225337,41,1.0,41.0,11847.503045066991,485747.6248477466,8.440597113130732e-05
43,60,0,790000,473900.1218026796,-316099.8781973204,40,1.0,40.0,11847.503045066991,473900.1218026796,8.440597113130732e-05
44,61,0,835000,462052.61875761265,-372947.38124238735,39,1.0,39.0,11847.503045066991,462052.61875761265,8.440597113130732e-05
45,62,0,882000,450205.11571254564,-431794.88428745436,38,1.0,38.0,11847.503045066991,450205.11571254564,8.440597113130732e-05
46,63,0,930000,438357.6126674787,-491642.3873325213,37,1.0,37.0,11847.503045066991,438357.6126674787,8.440597113130732e-05
47,64,0,980000,426510.10962241166,-553489.8903775883,36,1.0,36.0,11847.503045066991,426510.10962241166,8.440597113130732e-05
48,65,0,1025000,414662.6065773447,-610337.3934226553,35,1.0,35.0,11847.503045066991,414662.6065773447,8.440597113130732e-05
49,66,0,1070000,402815.10353227775,-667184.8964677223,34,1.0,34.0,11847.503045066991,402815.1035322777,8.440597113130732e-05
50,67,0,1115000,390967.6004872108,-724032.3995127892,33,1.0,33.0,11847.503045066991,390967.60048721073,8.440597113130732e-05
51,68,0,1155000,379120.0974421437,-775879.9025578563,32,1.0,32.0,11847.503045066991,379120.0974421437,8.440597113130732e-05
52,69,0,1195000,367272.59439707664,-827727.4056029234,31,1.0,31.0,11847.503045066991,367272.5943970767,8.440597113130732e-05
53,70,0,1230000,355425.0913520097,-874574.9086479903,30,1.0,30.0,11847.503045066991,355425.09135200974,8.440597113130732e-05
54,71,0,1260000,343577.5883069427,-916422.4116930573,29,1.0,29.0,11847.503045066991,343577.5883069427,8.440597113130732e-05
55,72,0,1285000,331730.08526187576,-953269.9147381242,28,1.0,28.0,11847.503045066991,331730.08526187576,8.440597113130732e-05
56,73,0,1305000,319882.5822168088,-985117.4177831912,27,1.0,27.0,11847.503045066991,319882.58221680875,8.440597113130732e-05
57,74,0,1320000,308035.07917174185,-1011964.9208282582,26,1.0,26.0,11847.503045066991,308035.0791717418,8.440597113130732e-05
58,75,0,1330000,296187.5761266748,-1033812.4238733252,25,1.0,25.0,11847.503045066991,296187.5761266748,8.440597113130732e-05
59,76,0,1335000,284340.07308160793,-1050659.926918392,24,1.0,24.0,11847.503045066991,284340.0730816078,8.440597113130732e-05
60,77,0,1335000,272492.57003654074,-1062507.4299634593,23,1.0,23.0,11847.503045066991,272492.5700365408,8.440597113130732e-05
61,78,0,1328000,260645.06699147378,-1067354.9330085262,22,1.0,22.0,11847.503045066991,260645.0669914738,8.440597113130732e-05
62,79,0,1318000,248797.56394640682,-1069202.4360535932,21,1.0,21.0,11847.503045066991,248797.56394640682,8.440597113130732e-05
63,80,0,1302000,236950.06090133986,-1065049.9390986601,20,1.0,20.0,11847.503045066991,236950.0609013398,8.440597113130732e-05
64,81,0,1280000,225102.5578562729,-1054897.442143727,19,1.0,19.0,11847.503045066991,225102.55785627282,8.440597113130732e-05
65,82,0,1252000,213255.05481120583,-1038744.9451887942,18,1.0,18.0,11847.503045066991,213255.05481120583,8.440597113130732e-05
66,83,0,1218000,201407.55176613887,-1016592.4482338611,17,1.0,17.0,11847.503045066991,201407.55176613884,8.440597113130732e-05
67,84,0,1178000,189560.0487210718,-988439.9512789282,16,1.0,16.0,11847.503045066991,189560.04872107186,8.440597113130732e-05
68,85,0,1132000,177712.54567600484,-954287.4543239952,15,1.0,15.0,11847.503045066991,177712.54567600487,8.440597113130732e-05
69,86,0,1080000,165865.04263093788,-914134.9573690621,14,1.0,14.0,11847.503045066991,165865.04263093788,8.440597113130732e-05
70,87,0,1022000,154017.53958587092,-867982.4604141291,13,1.0,13.0,11847.503045066991,154017.5395858709,8.440597113130732e-05
71,88,0,958000,142170.03654080397,-815829.963459196,12,1.0,12.0,11847.503045066991,142170.0365408039,8.440597113130732e-05
72,89,0,888000,130322.53349573689,-757677.4665042631,11,1.0,11.0,11847.503045066991,130322.5334957369,8.440597113130732e-05
73,90,0,812000,118475.03045066993,-693524.9695493301,10,1.0,10.0,11847.503045066991,118475.0304506699,8.440597113130732e-05
74,91,0,732000,106627.52740560286,-625372.4725943971,9,1.0,9.0,11847.503045066991,106627.52740560292,8.440597113130732e-05
75,92,0,648000,94780.0243605359,-553219.9756394641,8,1.0,8.0,11847.503045066991,94780.02436053593,8.440597113130732e-05
76,93,0,562000,82932.52131546894,-479067.47868453106,7,1.0,7.0,11847.503045066991,82932.52131546894,8.440597113130732e-05
77,94,0,475000,71085.01827040198,-403914.981729598,6,1.0,6.0,11847.503045066991,71085.01827040195,8.440597113130732e-05
78,95,0,390000,59237.515225334966,-330762.48477466503,5,1.0,5.0,11847.503045066991,59237.51522533495,8.440597113130732e-05
79,96,0,308000,47390.01218026795,-260609.98781973205,4,1.0,4.0,11847.503045066991,47390.012180267964,8.440597113130732e-05
80,97,0,232000,35542.50913520099,-196457.490864799,3,1.0,3.0,11847.503045066991,35542.50913520098,8.440597113130732e-05
81,98,0,165000,23695.006090133975,-141304.99390986603,2,1.0,2.0,11847.503045066991,23695.006090133982,8.440597113130732e-05
82,99,0,108000,11847.503045066987,-96152.49695493301,1,1.0,1.0,11847.503045066991,11847.503045066991,8.440597113130732e-05
83,100,0,62000,0.0,-62000.0,0,1.0,0.0,11847.503045066991,0.0,8.440597113130732e-05
